FISH-QUANT	
RESULTS OF SPOT DETECTION PERFORMED IN BATCH MODE ON 05-Apr-2019 
COMMENT	Batch detection
ANALYSIS-SETTINGS 	doug approved_MATURE_results_190404.txt
FILE	CELL	AREA_cell	AREA_nuc	N_total	N_thres_Total	N_thres_Nuc
FMR1nol3_03_w597_STACK__outline.txt	Cell_1	43061	0	1015	490	490
FMR1nol3_03_w597_STACK__outline.txt	Cell_2	22291	0	116	94	94
FMR1nol3_03_w597_STACK__outline.txt	Cell_3	43095.5	0	421	287	287
FMR1nol3_03_w597_STACK__outline.txt	Cell_4	25311.5	0	127	93	93
FMR1nol3_04_w597_STACK__outline.txt	Cell_1	96836.5	0	1937	1047	1047
FMR1nol3_04_w597_STACK__outline.txt	Cell_2	30976	0	72	65	65
FMR1nol3_05_w597_STACK__outline.txt	Cell_1	39263.5	0	545	396	396
FMR1nol3_05_w597_STACK__outline.txt	Cell_2	58812	0	271	234	234
FMR1nol3_06_w597_STACK__outline.txt	Cell_1	50997	0	217	201	201
FMR1nol3_06_w597_STACK__outline.txt	Cell_2	35041.5	0	44	41	41
FMR1nol3_07_w597_STACK__outline.txt	Cell_1	35820.5	0	531	441	441
FMR1nol3_07_w597_STACK__outline.txt	Cell_2	23905	0	63	53	53
FMR1nol3_08_w597_STACK__outline.txt	Cell_1	35130	0	710	320	320
FMR1nol3_08_w597_STACK__outline.txt	Cell_2	28667	0	156	126	126
FMR1nol3_09_w597_STACK__outline.txt	Cell_1	24058.5	0	334	261	261
FMR1nol3_09_w597_STACK__outline.txt	Cell_2	25751	0	113	68	68
FMR1nol3_09_w597_STACK__outline.txt	Cell_3	47016.5	0	775	280	280
FMR1nol3_09_w597_STACK__outline.txt	Cell_4	18295.5	0	183	103	103
FMR1nol3_09_w597_STACK__outline.txt	Cell_5	31347.5	0	282	163	163
FMR1nol3_09_w597_STACK__outline.txt	Cell_6	25038.5	0	171	105	105
FMR1nol3_10_w597_STACK__outline.txt	Cell_2	23896	0	172	127	127
FMR1nol3_10_w597_STACK__outline.txt	Cell_3	41207.5	0	681	413	413
FMR1nol3-g_01_w597_STACK__outline.txt	Cell_1	43830.5	0	857	226	226
FMR1nol3-g_01_w597_STACK__outline.txt	Cell_2	32113	0	118	46	46
FMR1nol3-g_02_w597_STACK__outline.txt	Cell_1	25508	0	240	186	186
FMR1nol3-g_02_w597_STACK__outline.txt	Cell_2	23317	0	64	36	36
FMR1nol3-g_03_w597_STACK__outline.txt	Cell_1	37094	0	451	300	300
FMR1nol3-g_03_w597_STACK__outline.txt	Cell_2	32507.5	0	71	47	47
FMR1nol3-g_04_w597_STACK__outline.txt	Cell_1	28937.5	0	524	315	315
FMR1nol3-g_04_w597_STACK__outline.txt	Cell_2	32642.5	0	152	87	87
FMR1nol3-g_05_w597_STACK__outline.txt	Cell_1	27517	0	688	344	344
FMR1nol3-g_05_w597_STACK__outline.txt	Cell_2	19490	0	90	79	79
FMR1nol3-g_05_w597_STACK__outline.txt	Cell_3	41826	0	823	345	345
FMR1nol3-g_05_w597_STACK__outline.txt	Cell_4	24802	0	82	68	68
FMR1nol3-g_06_w597_STACK__outline.txt	Cell_1	48700	0	934	535	535
FMR1nol3-g_06_w597_STACK__outline.txt	Cell_3	54176.5	0	693	443	443
FMR1nol3-g_06_w597_STACK__outline.txt	Cell_4	22559.5	0	84	38	38
FMR1nol3-g_06_w597_STACK__outline.txt	Cell_5	30839	0	101	50	50
FMR1nol3-g_07_w597_STACK__outline.txt	Cell_1	41141	0	825	447	447
FMR1nol3-g_07_w597_STACK__outline.txt	Cell_4	16783.5	0	103	41	41
FMR1nol3-g_08_w597_STACK__outline.txt	Cell_1	72908.5	0	1188	635	635
FMR1nol3-g_08_w597_STACK__outline.txt	Cell_2	33027	0	168	118	118
FMR1nol3-g_09_w597_STACK__outline.txt	Cell_1	57706.5	0	1282	812	812
FMR1nol3-g_09_w597_STACK__outline.txt	Cell_2	29201	0	183	97	97
FMR1nol3-g_10_w597_STACK__outline.txt	Cell_1	32606.5	0	412	290	290
FMR1nol3-g_10_w597_STACK__outline.txt	Cell_2	27294.5	0	123	72	72
GFPblank01_w597_STACK__outline.txt	Cell_1	94343.5	0	554	437	437
GFPblank01_w597_STACK__outline.txt	Cell_2	54580.5	0	59	27	27
GFPblank02_w597_STACK__outline.txt	Cell_1	73747	0	938	549	549
GFPblank02_w597_STACK__outline.txt	Cell_2	23145	0	60	32	32
GFPblank02_w597_STACK__outline.txt	Cell_3	64304.5	0	666	378	378
GFPblank02_w597_STACK__outline.txt	Cell_4	22139.5	0	48	30	30
GFPblank03_w597_STACK__outline.txt	Cell_1	32214	0	582	370	370
GFPblank03_w597_STACK__outline.txt	Cell_2	23008.5	0	63	39	39
GFPblank04_w597_STACK__outline.txt	Cell_1	90967	0	755	560	560
GFPblank04_w597_STACK__outline.txt	Cell_2	36640.5	0	45	35	35
GFPblank05_w597_STACK__outline.txt	Cell_1	48328.5	0	246	185	185
GFPblank05_w597_STACK__outline.txt	Cell_2	22503	0	71	38	38
GFPblank06_w597_STACK__outline.txt	Cell_1	36059.5	0	517	337	337
GFPblank06_w597_STACK__outline.txt	Cell_2	16284	0	75	41	41
GFPblank06_w597_STACK__outline.txt	Cell_3	35089	0	451	292	292
GFPblank06_w597_STACK__outline.txt	Cell_4	17313	0	81	34	34
GFPblank07_w597_STACK__outline.txt	Cell_1	44454.5	0	182	173	173
GFPblank07_w597_STACK__outline.txt	Cell_2	23246	0	73	21	21
GFPblank08_w597_STACK__outline.txt	Cell_1	67116	0	580	475	475
GFPblank08_w597_STACK__outline.txt	Cell_2	20295.5	0	67	36	36
GFPblank09_w597_STACK__outline.txt	Cell_1	58758.5	0	442	338	338
GFPblank09_w597_STACK__outline.txt	Cell_2	31212	0	67	53	53
GFPblank10_w597_STACK__outline.txt	Cell_1	33031.5	0	435	290	290
GFPblank10_w597_STACK__outline.txt	Cell_2	22858	0	121	55	55
GFPkif5a01_w597_STACK__outline.txt	Cell_1	55063	0	608	383	383
GFPkif5a01_w597_STACK__outline.txt	Cell_2	14493	0	63	47	47
GFPkif5a02_w597_STACK__outline.txt	Cell_1	72482.5	0	335	296	296
GFPkif5a02_w597_STACK__outline.txt	Cell_2	23781	0	93	74	74
GFPkif5a03_w597_STACK__outline.txt	Cell_1	43914	0	668	294	294
GFPkif5a03_w597_STACK__outline.txt	Cell_2	27614.5	0	112	61	61
GFPkif5a03_w597_STACK__outline.txt	Cell_3	40387.5	0	748	276	276
GFPkif5a03_w597_STACK__outline.txt	Cell_4	29206.5	0	84	36	36
GFPkif5a04_w597_STACK__outline.txt	Cell_1	46895.5	0	208	147	147
GFPkif5a04_w597_STACK__outline.txt	Cell_2	26268	0	68	43	43
GFPkif5a04_w597_STACK__outline.txt	Cell_3	44648	0	329	236	236
GFPkif5a04_w597_STACK__outline.txt	Cell_4	13694	0	59	38	38
GFPkif5a05_w597_STACK__outline.txt	Cell_1	32313	0	288	194	194
GFPkif5a05_w597_STACK__outline.txt	Cell_2	36198.5	0	89	59	59
GFPkif5a06_w597_STACK__outline.txt	Cell_1	59334	0	546	271	271
GFPkif5a06_w597_STACK__outline.txt	Cell_2	30749	0	138	100	100
GFPkif5a06_w597_STACK__outline.txt	Cell_3	30903.5	0	374	183	183
GFPkif5a06_w597_STACK__outline.txt	Cell_4	27812.5	0	65	46	46
GFPkif5a07_w597_STACK__outline.txt	Cell_1	58285.5	0	667	417	417
GFPkif5a07_w597_STACK__outline.txt	Cell_2	46235	0	75	39	39
GFPkif5a07_w597_STACK__outline.txt	Cell_3	60340.5	0	531	381	381
GFPkif5a07_w597_STACK__outline.txt	Cell_4	14709	0	43	31	31
GFPkif5a08_w597_STACK__outline.txt	Cell_3	45529.5	0	271	198	198
GFPkif5a08_w597_STACK__outline.txt	Cell_4	33484.5	0	96	35	35
GFPkif5a08_w597_STACK__outline.txt	Cell_5	47167.5	0	262	195	195
GFPkif5a08_w597_STACK__outline.txt	Cell_6	16418.5	0	80	24	24
GFPkif5a09_w597_STACK__outline.txt	Cell_1	64061.5	0	248	183	183
GFPkif5a09_w597_STACK__outline.txt	Cell_2	37699	0	61	47	47
GFPkif5a10_w597_STACK__outline.txt	Cell_1	34885	0	203	133	133
GFPkif5a10_w597_STACK__outline.txt	Cell_2	25420.5	0	84	48	48
GFPkif5a-g01_w597_STACK__outline.txt	Cell_1	34518	0	508	424	424
GFPkif5a-g01_w597_STACK__outline.txt	Cell_2	14000.5	0	71	21	21
GFPkif5a-g01_w597_STACK__outline.txt	Cell_3	55107.5	0	443	397	397
GFPkif5a-g01_w597_STACK__outline.txt	Cell_4	31698.5	0	87	63	63
GFPkif5a-g01_w597_STACK__outline.txt	Cell_5	34570	0	255	177	177
GFPkif5a-g01_w597_STACK__outline.txt	Cell_6	41094.5	0	120	79	79
GFPkif5a-g02_w597_STACK__outline.txt	Cell_1	42230.5	0	365	335	335
GFPkif5a-g02_w597_STACK__outline.txt	Cell_2	17034	0	42	24	24
GFPkif5a-g02_w597_STACK__outline.txt	Cell_3	63459.5	0	470	353	353
GFPkif5a-g02_w597_STACK__outline.txt	Cell_4	32145	0	79	18	18
GFPkif5a-g03_w597_STACK__outline.txt	Cell_1	61489.5	0	209	181	181
GFPkif5a-g03_w597_STACK__outline.txt	Cell_2	30246	0	101	42	42
GFPkif5a-g03_w597_STACK__outline.txt	Cell_3	44140	0	189	160	160
GFPkif5a-g03_w597_STACK__outline.txt	Cell_4	26722.5	0	102	55	55
GFPkif5a-g04_w597_STACK__outline.txt	Cell_1	57837	0	826	436	436
GFPkif5a-g04_w597_STACK__outline.txt	Cell_2	24078	0	78	59	59
GFPkif5a-g05_w597_STACK__outline.txt	Cell_1	44786.5	0	421	294	294
GFPkif5a-g05_w597_STACK__outline.txt	Cell_2	35188.5	0	75	47	47
GFPkif5a-g06_w597_STACK__outline.txt	Cell_1	49963.5	0	522	390	390
GFPkif5a-g06_w597_STACK__outline.txt	Cell_2	11865.5	0	44	24	24
GFPkif5a-g07_w597_STACK__outline.txt	Cell_1	42187.5	0	310	183	183
GFPkif5a-g07_w597_STACK__outline.txt	Cell_2	45259	0	136	53	53
GFPkif5a-g08_w597_STACK__outline.txt	Cell_1	55308.5	0	594	353	353
GFPkif5a-g08_w597_STACK__outline.txt	Cell_2	26809	0	100	39	39
GFPkif5a-g09_w597_STACK__outline.txt	Cell_1	63525	0	419	273	273
GFPkif5a-g09_w597_STACK__outline.txt	Cell_2	16820	0	62	22	22
GFPkif5a-g09_w597_STACK__outline.txt	Cell_3	42010.5	0	348	238	238
GFPkif5a-g09_w597_STACK__outline.txt	Cell_4	22809	0	87	29	29
GFPkif5a-g10_w597_STACK__outline.txt	Cell_1	32517.5	0	206	134	134
GFPkif5a-g10_w597_STACK__outline.txt	Cell_2	23488.5	0	59	27	27
GFPnol3_01_w597_STACK__outline.txt	Cell_1	134012	0	498	453	453
GFPnol3_01_w597_STACK__outline.txt	Cell_2	27183	0	67	61	61
GFPnol3_02_w597_STACK__outline.txt	Cell_1	54595	0	803	247	247
GFPnol3_02_w597_STACK__outline.txt	Cell_2	27963	0	114	51	51
GFPnol3_03_w597_STACK__outline.txt	Cell_1	38443.5	0	533	342	342
GFPnol3_03_w597_STACK__outline.txt	Cell_2	38803.5	0	110	47	47
GFPnol3_04_w597_STACK__outline.txt	Cell_1	98657	0	1554	712	712
GFPnol3_04_w597_STACK__outline.txt	Cell_2	27638.5	0	190	136	136
GFPnol3_05_w597_STACK__outline.txt	Cell_1	64790.5	0	484	350	350
GFPnol3_05_w597_STACK__outline.txt	Cell_2	23293.5	0	62	29	29
GFPnol3_06_w597_STACK__outline.txt	Cell_1	41673.5	0	328	218	218
GFPnol3_06_w597_STACK__outline.txt	Cell_2	50236	0	143	84	84
GFPnol3_08_w597_STACK__outline.txt	Cell_1	35838.5	0	710	402	402
GFPnol3_08_w597_STACK__outline.txt	Cell_2	21645	0	98	65	65
GFPnol3_09_w597_STACK__outline.txt	Cell_2	27354.5	0	168	138	138
GFPnol3_09_w597_STACK__outline.txt	Cell_3	28166	0	614	410	410
GFPnol3_10_w597_STACK__outline.txt	Cell_1	52107	0	970	419	419
GFPnol3_10_w597_STACK__outline.txt	Cell_2	39795	0	91	54	54
GFPnol3-g_01_w597_STACK__outline.txt	Cell_1	21204.5	0	471	235	235
GFPnol3-g_01_w597_STACK__outline.txt	Cell_2	32198	0	139	92	92
GFPnol3-g_01_w597_STACK__outline.txt	Cell_3	47796	0	826	464	464
GFPnol3-g_01_w597_STACK__outline.txt	Cell_4	29094	0	111	66	66
GFPnol3-g_02_w597_STACK__outline.txt	Cell_1	29582	0	721	273	273
GFPnol3-g_02_w597_STACK__outline.txt	Cell_2	22081.5	0	111	71	71
GFPnol3-g_03_w597_STACK__outline.txt	Cell_1	23851	0	258	119	119
GFPnol3-g_03_w597_STACK__outline.txt	Cell_2	12110.5	0	75	41	41
GFPnol3-g_04_w597_STACK__outline.txt	Cell_1	23301	0	51	49	49
GFPnol3-g_04_w597_STACK__outline.txt	Cell_2	23024	0	34	29	29
GFPnol3-g_05_w597_STACK__outline.txt	Cell_1	21876.5	0	236	132	132
GFPnol3-g_05_w597_STACK__outline.txt	Cell_2	19181	0	53	35	35
GFPnol3-g_06_w597_STACK__outline.txt	Cell_1	22683.5	0	440	229	229
GFPnol3-g_06_w597_STACK__outline.txt	Cell_2	12046.5	0	69	51	51
GFPnol3-g_06_w597_STACK__outline.txt	Cell_3	36300.5	0	617	329	329
GFPnol3-g_06_w597_STACK__outline.txt	Cell_4	16777.5	0	80	50	50
GFPnol3-g_07_w597_STACK__outline.txt	Cell_1	21553	0	314	148	148
GFPnol3-g_07_w597_STACK__outline.txt	Cell_2	19948	0	95	38	38
GFPnol3-g_09_w597_STACK__outline.txt	Cell_1	37716	0	566	226	226
GFPnol3-g_09_w597_STACK__outline.txt	Cell_2	10589.5	0	65	37	37
GFPnol3-g_09_w597_STACK__outline.txt	Cell_3	27848.5	0	381	167	167
GFPnol3-g_09_w597_STACK__outline.txt	Cell_4	17725	0	77	44	44
GFPnol3-g_10_w597_STACK__outline.txt	Cell_1	29193.5	0	461	235	235
GFPnol3-g_10_w597_STACK__outline.txt	Cell_2	33236.5	0	115	92	92
RGGblank01_w597_STACK__outline.txt	Cell_1	49060.5	0	598	486	486
RGGblank01_w597_STACK__outline.txt	Cell_2	22909	0	84	31	31
RGGblank02_w597_STACK__outline.txt	Cell_1	29070.5	0	468	240	240
RGGblank02_w597_STACK__outline.txt	Cell_2	21515.5	0	52	22	22
RGGblank02_w597_STACK__outline.txt	Cell_3	34035.5	0	602	375	375
RGGblank02_w597_STACK__outline.txt	Cell_4	49527.5	0	99	27	27
RGGblank03_w597_STACK__outline.txt	Cell_1	63794	0	874	427	427
RGGblank03_w597_STACK__outline.txt	Cell_2	48836	0	88	40	40
RGGblank04_w597_STACK__outline.txt	Cell_1	45054.5	0	622	418	418
RGGblank04_w597_STACK__outline.txt	Cell_2	28316.5	0	81	29	29
RGGblank04_w597_STACK__outline.txt	Cell_3	49180.5	0	507	411	411
RGGblank04_w597_STACK__outline.txt	Cell_4	18348	0	66	26	26
RGGblank05_w597_STACK__outline.txt	Cell_1	38193.5	0	686	479	479
RGGblank05_w597_STACK__outline.txt	Cell_2	25625	0	84	52	52
RGGblank06_w597_STACK__outline.txt	Cell_1	39254.5	0	633	394	394
RGGblank06_w597_STACK__outline.txt	Cell_2	44306.5	0	139	44	44
RGGblank07_w597_STACK__outline.txt	Cell_1	45054.5	0	536	449	449
RGGblank07_w597_STACK__outline.txt	Cell_2	36756.5	0	134	57	57
RGGblank08_w597_STACK__outline.txt	Cell_1	78293	0	1220	795	795
RGGblank08_w597_STACK__outline.txt	Cell_2	29551	0	89	46	46
RGGblank09_w597_STACK__outline.txt	Cell_1	46639	0	1152	597	597
RGGblank09_w597_STACK__outline.txt	Cell_2	18362.5	0	86	46	46
RGGblank10_w597_STACK__outline.txt	Cell_1	47843	0	350	284	284
RGGblank10_w597_STACK__outline.txt	Cell_2	31418.5	0	167	56	56
RGGkif5a01_w597_STACK__outline.txt	Cell_1	59539	0	791	329	329
RGGkif5a01_w597_STACK__outline.txt	Cell_2	31339	0	163	116	116
RGGkif5a02_w597_STACK__outline.txt	Cell_1	40402.5	0	627	388	388
RGGkif5a02_w597_STACK__outline.txt	Cell_2	21586	0	112	89	89
RGGkif5a02_w597_STACK__outline.txt	Cell_3	43803	0	501	396	396
RGGkif5a02_w597_STACK__outline.txt	Cell_4	20760.5	0	85	58	58
RGGkif5a03_w597_STACK__outline.txt	Cell_1	49332.5	0	667	434	434
RGGkif5a03_w597_STACK__outline.txt	Cell_2	25204.5	0	133	112	112
RGGkif5a04_w597_STACK__outline.txt	Cell_1	34570	0	629	364	364
RGGkif5a04_w597_STACK__outline.txt	Cell_2	29629.5	0	134	124	124
RGGkif5a05_w597_STACK__outline.txt	Cell_1	46068.5	0	611	408	408
RGGkif5a05_w597_STACK__outline.txt	Cell_2	24693.5	0	115	105	105
RGGkif5a06_w597_STACK__outline.txt	Cell_1	62840	0	797	571	571
RGGkif5a06_w597_STACK__outline.txt	Cell_2	19986.5	0	47	43	43
RGGkif5a06_w597_STACK__outline.txt	Cell_3	27930.5	0	394	274	274
RGGkif5a06_w597_STACK__outline.txt	Cell_4	11998.5	0	39	34	34
RGGkif5a07_w597_STACK__outline.txt	Cell_1	56478	0	649	268	268
RGGkif5a07_w597_STACK__outline.txt	Cell_2	25818	0	75	69	69
RGGkif5a08_w597_STACK__outline.txt	Cell_1	64824	0	1211	483	483
RGGkif5a08_w597_STACK__outline.txt	Cell_2	38614.5	0	188	144	144
RGGkif5a09_w597_STACK__outline.txt	Cell_1	47144	0	624	288	288
RGGkif5a09_w597_STACK__outline.txt	Cell_2	21013.5	0	148	89	89
RGGkif5a10_w597_STACK__outline.txt	Cell_1	82116	0	1525	791	791
RGGkif5a10_w597_STACK__outline.txt	Cell_2	28568	0	138	119	119
RGGkif5a-g01_w597_STACK__outline.txt	Cell_1	46669.5	0	594	500	500
RGGkif5a-g01_w597_STACK__outline.txt	Cell_2	35353.5	0	100	55	55
RGGkif5a-g01_w597_STACK__outline.txt	Cell_3	51255	0	461	423	423
RGGkif5a-g01_w597_STACK__outline.txt	Cell_4	18249.5	0	62	22	22
RGGkif5a-g02_w597_STACK__outline.txt	Cell_1	53803	0	696	561	561
RGGkif5a-g02_w597_STACK__outline.txt	Cell_2	34721.5	0	90	29	29
RGGkif5a-g02_w597_STACK__outline.txt	Cell_3	68497	0	679	588	588
RGGkif5a-g02_w597_STACK__outline.txt	Cell_6	16271	0	62	20	20
RGGkif5a-g03_w597_STACK__outline.txt	Cell_1	25270	0	382	221	221
RGGkif5a-g03_w597_STACK__outline.txt	Cell_2	20951	0	115	62	62
RGGkif5a-g03_w597_STACK__outline.txt	Cell_3	47742	0	983	683	683
RGGkif5a-g03_w597_STACK__outline.txt	Cell_4	28913	0	220	115	115
RGGkif5a-g04_w597_STACK__outline.txt	Cell_1	56436	0	474	423	423
RGGkif5a-g04_w597_STACK__outline.txt	Cell_2	28400.5	0	104	59	59
