FILE,CELL,AREA_cell,AREA_nuc,N_total,N_thres_Total,N_thres_Nuc
FMR1kif5a-g03_w597_STACK__outline.txt,Cell_1,72045,0,12,12,12
FMR1kif5a-g03_w597_STACK__outline.txt,Cell_2,55143,0,5,4,4
FMR1kif5a-g04_w597_STACK__outline.txt,Cell_1,45205,0,191,130,130
FMR1kif5a-g04_w597_STACK__outline.txt,Cell_2,33876.5,0,1,1,1
FMR1kif5a-g04_w597_STACK__outline.txt,Cell_3,42351,0,456,278,278
FMR1kif5a-g04_w597_STACK__outline.txt,Cell_4,26824,0,0,0,0
FMR1kif5a-g05_w597_STACK__outline.txt,Cell_1,80529,0,271,202,202
FMR1kif5a-g05_w597_STACK__outline.txt,Cell_2,29805.5,0,4,4,4
FMR1kif5a-g06_w597_STACK__outline.txt,Cell_1,83878.5,0,387,292,292
FMR1kif5a-g06_w597_STACK__outline.txt,Cell_2,42413,0,0,0,0
FMR1kif5a-g07_w597_STACK__outline.txt,Cell_1,149314,0,433,353,353
FMR1kif5a-g07_w597_STACK__outline.txt,Cell_4,39277,0,0,0,0
FMR1kif5a-g09_w597_STACK__outline.txt,Cell_1,79116.5,0,10,9,9
FMR1kif5a-g09_w597_STACK__outline.txt,Cell_2,37531.5,0,1,1,1
FMR1kif5a-g10_w597_STACK__outline.txt,Cell_2,32571,0,21,17,17
FMR1kif5a-g10_w597_STACK__outline.txt,Cell_3,31905.5,0,155,108,108
FMR1kif5a-g11_w597_STACK__outline.txt,Cell_1,64319.5,0,196,153,153
FMR1kif5a-g11_w597_STACK__outline.txt,Cell_2,28928,0,0,0,0
FMR1kif5a-g12_w597_STACK__outline.txt,Cell_2,62292.5,0,6,6,6
FMR1kif5a-g12_w597_STACK__outline.txt,Cell_3,90588.5,0,485,372,372
GFPblank01_w597_STACK__outline.txt,Cell_1,50940,0,180,122,122
GFPblank01_w597_STACK__outline.txt,Cell_2,24556,0,0,0,0
